failed_accession	failed_sequence_length	canonical_reference_accession	canonical_reference_sequence_length	reference_selection_reason	canonical_DBD_start	canonical_DBD_end	canonical_DBD_interval_source	canonical_DBD_context	full_alignment_columns	full_aligned_residue_pairs	full_alignment_matches	full_identity_percent	DBD_length	DBD_aligned_residues	DBD_matches	DBD_coverage_percent	DBD_identity_percent	failed_coordinates_corresponding_to_DBD	aligned_non_DBD_residues	aligned_non_DBD_matches	aligned_non_DBD_identity_percent	alignment_evidence_class	model_path	model_interval	model_path_sha256	pdb_selected_protein_chain	pdb_chain_sequence_length	pdb_chain_sequence_sha256	pdb_to_reference_aligned_residues	pdb_to_reference_identity_percent	pdb_chain_coverage_percent	failed_to_pdb_aligned_residues	failed_to_pdb_identity_percent	failed_sequence_coverage_by_pdb_percent	pdb_reference_reconciliation_status	pdb_reconciliation_note	canonical_reference_is_separate_accession
K7ENI0	95	K7ENH8	314	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	210	262	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00010:210-262:Helix-loop-helix DNA-binding domain	314	95	55	57.89	53	10	6	18.87	60.00	73-82	85	49	57.65	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_K7ENH8:199:272_2ypb_B_1.pdb	199-272	4b47e237d59ac0d3c8cbbe0c6bb296e5dc2867304079beb9fd1a257975b373d9	B	74	0c89b758071119f5b9019b6108b150552afeb4d5abbbe8edf40c5a7dd0f2bb03	74	100.00	100.00	3	100.00	3.16	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
O75780	157	Q07869	468	BLANK_GENE_MAPPING_TO_REVIEWED_CANONICAL_ACCESSION:clear_from_description	101	167	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00105:101-167:Double treble clef zinc finger, C4 type	468	157	156	99.36	67	0	0	0.00	0.00		157	156	99.36	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q07869:100:468_3e00_D_1.pdb	100-468	303e9541d01daf4c3aaeff396508a8d5f7974557309f91ab74a56924a8df8af2	A	369	8cbcbdb205545d8ed814c3ddc33a4e5e4d57650a8f25ec6d668a2d29022e44c1	369	100.00	100.00	157	99.36	100.00	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
Q59EB9	436	B7ZKJ5	844	BLANK_GENE_MAPPING_TO_EXPLICIT_INTERFACE_AUDITED_REFERENCE:probable_from_description	587	780	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00096:587-609:Zinc finger, C2H2 type;PF13909:615-640:C2H2-type zinc-finger domain;PF00096:701-723:Zinc finger, C2H2 type;PF00096:758-780:Zinc finger, C2H2 type	848	432	429	99.31	194	15	14	7.73	93.33	416-430	417	415	99.52	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_B7ZKJ5:553:837_5wjq_D_1.pdb	553-837	9b5521c29e0e266769b318fcaf92dfb57c6d44043db59a788462ec991ff4fa1e	A	285	062cfd0dcab8335f9650e4d55a0dd19f7293a1914b281aba5ef8e3dc7d2328e9	285	100.00	100.00	5	83.33	1.15	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
Q59EF3	371	H0YE88	426	BLANK_GENE_MAPPING_TO_EXPLICIT_INTERFACE_AUDITED_REFERENCE:clear_from_description	32	98	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF01285:32-98:TEA/ATTS domain	426	371	336	90.57	67	37	13	55.22	35.14	14-50	334	323	96.71	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_H0YE88:31:104_5nnx_A_1.pdb	31-104	130e9796e11c9fd0884382153965087fc30c8c6ba6174fb2ad236c8dd46548da	A	74	f484f3688f6bbfb602ff56218a7dc8642a4ec0c02ff683aead68a460b7e2efe5	74	100.00	100.00	3	100.00	0.81	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
Q5T4K9	217	Q8TEY5	395	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	215	273	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00170:215-273:bZIP transcription factor	395	217	217	100.00	59	1	1	1.69	100.00	212-212	216	216	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q8TEY5:218:259_1t2k_C_1.pdb	218-259	ab1e82058fc715772271bca9bf704fb5d3ea6744d0b00667d0c5483f40bcae72	A	42	fa026ff7320157a9cc308ed887b79362d1fae2e8e4e64cd5f453da47af365b89	42	100.00	100.00	5	80.00	2.30	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
Q5T4L2	182	Q8TEY5	395	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	215	273	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00170:215-273:bZIP transcription factor	395	182	182	100.00	59	0	0	0.00	0.00		182	182	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q8TEY5:218:259_1t2k_C_1.pdb	218-259	ab1e82058fc715772271bca9bf704fb5d3ea6744d0b00667d0c5483f40bcae72	A	42	fa026ff7320157a9cc308ed887b79362d1fae2e8e4e64cd5f453da47af365b89	42	100.00	100.00	5	80.00	2.75	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
Q5VVR5	222	H0YEE5	108	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	1	49	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00505:1-49:HMG (high mobility group) box	222	108	41	37.96	49	49	21	100.00	42.86	11-104	59	20	33.90	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_H0YEE5:1:64_2lef_A_1.pdb	1-64	cc449cf2ba853feb6925302c23fb2ef19b6a52d5f29a2d2008b1346c9f3fee4d	A	64	54bab0bc1e5d0636a976caf54a676b8db04cb5b3feb2146f5597a0894a2149f4	64	100.00	100.00	7	71.43	3.15	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
Q6L9M1	41	Q4W4C7	280	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	124	190	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00105:124-190:Double treble clef zinc finger, C4 type	280	41	41	100.00	67	2	2	2.99	100.00	37-38	39	39	100.00	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_Q4W4C7:121:201_1a6y_B_1.pdb	121-201	cfcad351e1dc61776aad8542fa412d5eab171c06e5fe87443c090a7839270631	B	74	0c4f8395392f61de6f905227fb94495f6df867bcbed863d50f38d6cb7b0768cc	74	100.00	100.00	2	100.00	4.88	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
Q6NZ39	100	Q8TE12	382	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	196	252	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00046:196-252:Homeodomain	382	100	100	100.00	57	0	0	0.00	0.00		100	100	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q8TE12:196:249_6a8r_B_1.pdb	196-249	2a40626bce14f5582d474b922ff3745314717087521b83ddeb3b08d3ae4190be	A	54	857f7c5b778e5d4a3438c19cc0dcdf406ffae2f380ebd449a828c82ae82475f9	54	100.00	100.00	25	46.15	25.00	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
Q709A9	79	A0A7I2YQR9	273	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	236	265	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00010:236-265:Helix-loop-helix DNA-binding domain	273	79	79	100.00	30	4	4	13.33	100.00	76-79	75	75	100.00	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_A0A7I2YQR9:232:263_5nj8_B_1.pdb	232-263	68117e4ce12dea1e3a09c022a4d3d94ff56414a72a1670a5b788fe42aae2a312	A	32	9c5b18065b5adc0b15cc1ea9eaff03bc6e4b235b822260592777438e7d171ced	32	100.00	100.00	2	100.00	2.53	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
Q86VD4	200	Q70SY1	520	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	292	354	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00170:292-354:bZIP transcription factor	520	200	184	92.00	63	14	10	22.22	71.43	155-168	186	174	93.55	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_Q70SY1:295:354_1t2k_C_1.pdb	295-354	223464dee64cfdad948ff5f6442d8d8b8f2ac7bd543b82a2a2aed99fc32891eb	A	60	0c54aaa3980b1771271d6e29d977ee78cc9564ad46249a6b3c2dda3e55ae1eec	60	100.00	100.00	5	80.00	2.50	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
Q8NHZ2	412	B7ZKJ5	844	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	587	780	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00096:587-609:Zinc finger, C2H2 type;PF13909:615-640:C2H2-type zinc-finger domain;PF00096:701-723:Zinc finger, C2H2 type;PF00096:758-780:Zinc finger, C2H2 type	844	412	410	99.51	194	12	12	6.19	100.00	397-408	400	398	99.50	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_B7ZKJ5:553:837_5wjq_D_1.pdb	553-837	9b5521c29e0e266769b318fcaf92dfb57c6d44043db59a788462ec991ff4fa1e	A	285	062cfd0dcab8335f9650e4d55a0dd19f7293a1914b281aba5ef8e3dc7d2328e9	285	100.00	100.00	5	83.33	1.21	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
Q8NHZ3	174	B7ZKJ5	844	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	587	780	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00096:587-609:Zinc finger, C2H2 type;PF13909:615-640:C2H2-type zinc-finger domain;PF00096:701-723:Zinc finger, C2H2 type;PF00096:758-780:Zinc finger, C2H2 type	844	174	172	98.85	194	2	2	1.03	100.00	170-171	172	170	98.84	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_B7ZKJ5:553:837_5wjq_D_1.pdb	553-837	9b5521c29e0e266769b318fcaf92dfb57c6d44043db59a788462ec991ff4fa1e	A	285	062cfd0dcab8335f9650e4d55a0dd19f7293a1914b281aba5ef8e3dc7d2328e9	285	100.00	100.00	5	83.33	2.87	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
Q8NHZ4	265	B7ZKJ5	844	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	587	780	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00096:587-609:Zinc finger, C2H2 type;PF13909:615-640:C2H2-type zinc-finger domain;PF00096:701-723:Zinc finger, C2H2 type;PF00096:758-780:Zinc finger, C2H2 type	844	265	264	99.62	194	8	8	4.12	100.00	253-260	257	256	99.61	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_B7ZKJ5:553:837_5wjq_D_1.pdb	553-837	9b5521c29e0e266769b318fcaf92dfb57c6d44043db59a788462ec991ff4fa1e	A	285	062cfd0dcab8335f9650e4d55a0dd19f7293a1914b281aba5ef8e3dc7d2328e9	285	100.00	100.00	5	83.33	1.89	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
Q8NHZ5	266	B7ZKJ5	844	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	587	780	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00096:587-609:Zinc finger, C2H2 type;PF13909:615-640:C2H2-type zinc-finger domain;PF00096:701-723:Zinc finger, C2H2 type;PF00096:758-780:Zinc finger, C2H2 type	844	266	266	100.00	194	13	13	6.70	100.00	253-265	253	253	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_B7ZKJ5:553:837_5wjq_D_1.pdb	553-837	9b5521c29e0e266769b318fcaf92dfb57c6d44043db59a788462ec991ff4fa1e	A	285	062cfd0dcab8335f9650e4d55a0dd19f7293a1914b281aba5ef8e3dc7d2328e9	285	100.00	100.00	5	83.33	1.88	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
Q8WXB8	149	B7ZKJ5	844	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	587	780	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00096:587-609:Zinc finger, C2H2 type;PF13909:615-640:C2H2-type zinc-finger domain;PF00096:701-723:Zinc finger, C2H2 type;PF00096:758-780:Zinc finger, C2H2 type	844	149	148	99.33	194	12	12	6.19	100.00	135-146	137	136	99.27	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_B7ZKJ5:553:837_5wjq_D_1.pdb	553-837	9b5521c29e0e266769b318fcaf92dfb57c6d44043db59a788462ec991ff4fa1e	A	285	062cfd0dcab8335f9650e4d55a0dd19f7293a1914b281aba5ef8e3dc7d2328e9	285	100.00	100.00	6	71.43	4.03	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
Q8WXB9	149	B7ZKJ5	844	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	587	780	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00096:587-609:Zinc finger, C2H2 type;PF13909:615-640:C2H2-type zinc-finger domain;PF00096:701-723:Zinc finger, C2H2 type;PF00096:758-780:Zinc finger, C2H2 type	844	149	147	98.66	194	12	12	6.19	100.00	135-146	137	135	98.54	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_B7ZKJ5:553:837_5wjq_D_1.pdb	553-837	9b5521c29e0e266769b318fcaf92dfb57c6d44043db59a788462ec991ff4fa1e	A	285	062cfd0dcab8335f9650e4d55a0dd19f7293a1914b281aba5ef8e3dc7d2328e9	285	100.00	100.00	6	71.43	4.03	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
Q96QL7	318	Q6AZW6	703	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	324	385	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00170:324-385:bZIP transcription factor	703	318	310	97.48	62	5	5	8.06	100.00	283-287	313	305	97.44	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q6AZW6:326:381_1t2k_C_1.pdb	326-381	c21719f104f3ecb9a64320e2a4b86ec200657b172cf9d7016ebfa876a8afe84c	A	56	4b3af29093f5fa6ef9fe5d9e0d756d0c611e0e039a68104a3ab3c1e77063ff69	56	100.00	100.00	3	100.00	0.94	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
Q9Y2W8	113	P03372	595	BLANK_GENE_MAPPING_TO_REVIEWED_CANONICAL_ACCESSION:clear_from_description:LONGEST_MODEL_INTERVAL_FOR_Q9Y2W8_CONTROL	184	252	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00105:184-252:Double treble clef zinc finger, C4 type	595	113	113	100.00	69	0	0	0.00	0.00		113	113	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_P03372:185:544_3e00_A_1.pdb	185-544	6c723688317e114cd0143a3432d4249f0a091c24db45959e5e322d20a7820be8	A	360	aa6b1ed4fa9c9e86085f7ca9deae5be1904fb7e5541c16fc60a1cd2afa5adb39	360	100.00	100.00	108	100.00	95.58	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
X5D8U0	435	X5DRE4	220	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	65	116	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00010:65-116:Helix-loop-helix DNA-binding domain	435	220	104	47.27	52	52	27	100.00	51.92	126-233	168	77	45.83	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_X5DRE4:62:116_4zpr_A_1.pdb	62-116	964c5e79f673212e9a9a2b3060353e0ae7615290066ebe5f55f530f2034067c6	A	55	a342d6f45d8220e1d9ded506da36cdf810b4c3924b2f72d452ddde921cc2d595	55	100.00	100.00	3	100.00	0.69	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
